OrderDate,Region,Product,Category,Units,UnitPrice
2026-01-01,Southeast,Neon Drift Cabinet,Hardware,2,1249.00
2026-01-01,Southwest,Holo Visor Mk II,Hardware,7,415.00
2026-01-01,Southwest,Neon Drift Cabinet,Hardware,9,1249.00
2026-01-02,Northwest,Arcade Token Pack,Accessories,5,12.00
2026-01-02,Northwest,Retro Rewind Vol. 3,Games,3,29.99
2026-01-02,Northeast,Midnight Circuit,Games,10,54.50
2026-01-03,Northeast,Midnight Circuit,Games,5,54.50
2026-01-03,Southeast,Plasma Cartridge,Accessories,2,34.50
2026-01-04,Northwest,Starfall Anthology,Games,5,44.00
2026-01-08,Northwest,Holo Visor Mk II,Hardware,1,415.00
2026-01-08,Southeast,Vector Blaster Pad,Accessories,6,59.95
2026-01-09,Northwest,Midnight Circuit,Games,2,54.50
2026-01-09,Southeast,Midnight Circuit,Games,4,54.50
2026-01-09,Southeast,Holo Visor Mk II,Hardware,12,415.00
2026-01-09,Southeast,Vector Blaster Pad,Accessories,12,59.95
2026-01-10,Northeast,Arcade Token Pack,Accessories,-2,12.00
2026-01-12,Southwest,Midnight Circuit,Games,13,54.50
2026-01-13,Southeast,Neon Drift Cabinet,Hardware,8,1249.00
2026-01-14,Southwest,Quantum Save Stick,Accessories,14,22.75
2026-01-15,Southeast,Plasma Cartridge,Accessories,13,34.50
2026-01-16,Southeast,Holo Visor Mk II,Hardware,6,415.00
2026-01-16,Southeast,Plasma Cartridge,Accessories,6,34.50
2026-01-16,Southeast,Retro Rewind Vol. 3,Games,9,29.99
2026-01-16,Southwest,Plasma Cartridge,Accessories,4,34.50
2026-01-18,Southeast,Vector Blaster Pad,Accessories,10,59.95
2026-01-18,Northwest,Neon Drift Cabinet,Hardware,5,1249.00
2026-01-20,Southwest,Neon Drift Cabinet,Hardware,2,1249.00
2026-01-21,Southeast,Retro Rewind Vol. 3,Games,11,29.99
2026-01-21,Northeast,Midnight Circuit,Games,2,54.50
2026-01-21,Northeast,Holo Visor Mk II,Hardware,4,415.00
2026-01-22,Southeast,Arcade Token Pack,Accessories,9,12.00
2026-01-23,Southwest,Chrono Loop Deck,Hardware,10,689.00
2026-01-24,Northeast,Midnight Circuit,Games,8,54.50
2026-01-25,Northeast,Vector Blaster Pad,Accessories,6,59.95
2026-01-25,Southwest,Midnight Circuit,Games,9,54.50
2026-01-26,Northeast,Midnight Circuit,Games,5,54.50
2026-01-27,Southwest,Quantum Save Stick,Accessories,2,22.75
2026-01-27,Southeast,Neon Drift Cabinet,Hardware,4,1249.00
2026-01-27,Northeast,Midnight Circuit,Games,11,54.50
2026-01-27,Northwest,Holo Visor Mk II,Hardware,4,415.00
2026-01-28,Northwest,Neon Drift Cabinet,Hardware,10,1249.00
2026-01-28,Northeast,Quantum Save Stick,Accessories,2,22.75
2026-01-28,Southeast,Plasma Cartridge,Accessories,11,34.50
2026-01-31,Southwest,Retro Rewind Vol. 3,Games,-2,29.99
2026-01-31,Southeast,Holo Visor Mk II,Hardware,-3,415.00
2026-02-01,Southwest,Chrono Loop Deck,Hardware,1,689.00
2026-02-01,Southeast,Midnight Circuit,Games,14,54.50
2026-02-02,Northeast,Vector Blaster Pad,Accessories,8,59.95
2026-02-03,Southwest,Starfall Anthology,Games,9,44.00
2026-02-04,Northwest,Quantum Save Stick,Accessories,9,22.75
2026-02-04,Southeast,Vector Blaster Pad,Accessories,1,59.95
2026-02-04,Southwest,Midnight Circuit,Games,14,54.50
2026-02-08,Southeast,Plasma Cartridge,Accessories,11,34.50
2026-02-09,Northwest,Holo Visor Mk II,Hardware,9,415.00
2026-02-10,Southeast,Midnight Circuit,Games,11,54.50
2026-02-10,Northwest,Chrono Loop Deck,Hardware,2,689.00
2026-02-10,Southwest,Midnight Circuit,Games,1,54.50
2026-02-11,Southeast,Starfall Anthology,Games,3,44.00
2026-02-12,Southwest,Neon Drift Cabinet,Hardware,4,1249.00
2026-02-12,Southwest,Midnight Circuit,Games,6,54.50
2026-02-12,Northeast,Chrono Loop Deck,Hardware,11,689.00
2026-02-12,Northwest,Holo Visor Mk II,Hardware,10,415.00
