Name,District,City,Facility Type,Description,Phone Number,Image URL,Opening Hours,Website,Capacity,Is Accessible,Latitude,Longitude
Daren Jonny Recreation Centre,West,Rosemont,Library Branch,"Offers permit services with free parking and arts workshops year-round. Known for a multi-purpose gym, youth programs, and open weekends.",+1 555-4811,http://zava.example/assets/facilities/daren-jonny-recreation-centre.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/daren-jonny-recreation-centre,337,Yes,43.743204,-79.359735
Johnathan Family Hub,East,Hillcrest,Community Hub,"Offers computer labs with senior wellness and open weekends year-round. Known for a multi-purpose gym, emergency services, and on-site volunteers.",+1 555-2584,http://zava.example/assets/facilities/johnathan-family-hub.jpg,Daily 9:00-17:00,http://zava.example/facilities/johnathan-family-hub,483,No,43.720745,-79.338574
Jonty Access Point,South,Birchwood,Library Branch,"Offers permit services with free parking and senior wellness year-round. Known for outdoor green space, youth programs, and open weekends.",+1 555-5741,http://zava.example/assets/facilities/jonty-access-point.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/jonty-access-point,487,Yes,43.773297,-79.423975
Jonnathan Senior Center,Downtown,Birchwood,Library Branch,"Offers local history archive with free parking and senior wellness year-round. Known for family-friendly seating, emergency services, and on-site volunteers.",+1 555-5422,http://zava.example/assets/facilities/jonnathan-senior-center.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/jonnathan-senior-center,400,No,43.76857,-79.3448
Darelle Resource Centre,East,Silverlake,Library Branch,"Offers recreation leagues with senior wellness and arts workshops year-round. Known for a maker space, free parking, and extended evening hours.",+1 555-3287,http://zava.example/assets/facilities/darelle-resource-centre.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/darelle-resource-centre,431,No,43.749403,-79.414313
Johanathan Community Hub,Central,Elmwood,Access Point,"Offers childcare information with senior wellness and open weekends year-round. Known for bike racks, youth programs, and on-site volunteers.",+1 555-8668,http://zava.example/assets/facilities/johanathan-community-hub.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/johanathan-community-hub,333,Yes,43.736057,-79.47709
Darryl-Ann Recreation Centre,North,Hillcrest,Civic Office,"Offers computer labs with youth programs and emergency services year-round. Known for outdoor green space, senior wellness, and extended evening hours.",+1 555-9317,http://zava.example/assets/facilities/darryl-ann-recreation-centre.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/darryl-ann-recreation-centre,128,No,43.752502,-79.392124
Jonny Nathan Public Counter,West,Elmwood,Community Hub,"Offers community counseling with senior wellness and youth programs year-round. Known for a multi-purpose gym, open weekends, and on-site volunteers.",+1 555-2133,http://zava.example/assets/facilities/jonny-nathan-public-counter.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jonny-nathan-public-counter,115,No,43.78937,-79.466975
Joe Nathan Library Branch,Downtown,Greenfield,Library Branch,"Offers recreation leagues with arts workshops and emergency services year-round. Known for a multi-purpose gym, open weekends, and open weekends.",+1 555-4681,http://zava.example/assets/facilities/joe-nathan-library-branch.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/joe-nathan-library-branch,223,Yes,43.717662,-79.453977
The Darelle Jonty Wellness Pavilion,West,Riverton,Access Point,"Offers after-school tutoring with emergency services and arts workshops year-round. Known for a large auditorium, senior wellness, and easy transit access.",+1 555-8744,http://zava.example/assets/facilities/the-darelle-jonty-wellness-pavilion.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/the-darelle-jonty-wellness-pavilion,451,No,43.761499,-79.461918
Darrol Senior Centre,Downtown,Bayview,Library Branch,"Offers food pantry referrals with youth programs and arts workshops year-round. Known for a staffed information desk, senior wellness, and open weekends.",+1 555-4116,http://zava.example/assets/facilities/darrol-senior-centre.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darrol-senior-centre,121,No,43.636698,-79.407474
Jona Than Neighbourhood Hall,West,Bayview,Library Branch,"Offers meeting rooms with youth programs and senior wellness year-round. Known for family-friendly seating, open weekends, and on-site volunteers.",+1 555-4502,http://zava.example/assets/facilities/jona-than-neighbourhood-hall.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jona-than-neighbourhood-hall,80,Yes,43.675795,-79.302938
Darryll Resource Centre,Downtown,Parkview,Library Branch,"Offers after-school tutoring with senior wellness and open weekends year-round. Known for a welcoming lobby, emergency services, and easy transit access.",+1 555-9883,http://zava.example/assets/facilities/darryll-resource-centre.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/darryll-resource-centre,432,No,43.611433,-79.383164
Joe Nathan Service Desk,West,Canyon,Access Point,"Offers quiet study zones with open weekends and senior wellness year-round. Known for a large auditorium, youth programs, and open weekends.",+1 555-1651,http://zava.example/assets/facilities/joe-nathan-service-desk.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/joe-nathan-service-desk,264,No,43.786941,-79.459148
Derran Recreation Centre,North,Crestwood,Community Hub,"Offers computer labs with youth programs and arts workshops year-round. Known for a small café, senior wellness, and open weekends.",+1 555-9288,http://zava.example/assets/facilities/derran-recreation-centre.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/derran-recreation-centre,117,No,43.776173,-79.324146
Jonathon Neighbourhood Hall,South,Rosemont,Senior Centre,"Offers language classes with open weekends and free parking year-round. Known for a maker space, youth programs, and extended evening hours.",+1 555-2891,http://zava.example/assets/facilities/jonathon-neighbourhood-hall.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/jonathon-neighbourhood-hall,430,Yes,43.65447,-79.379034
Derran Wellness Pavilion,Central,Birchwood,Access Point,"Offers job search help with open weekends and arts workshops year-round. Known for a welcoming lobby, youth programs, and extended evening hours.",+1 555-3143,http://zava.example/assets/facilities/derran-wellness-pavilion.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/derran-wellness-pavilion,132,No,43.710336,-79.414463
Darrell Darryl Learning Annex,North,Silverlake,Senior Centre,"Offers permit services with arts workshops and senior wellness year-round. Known for accessible entrances, free parking, and free parking.",+1 555-6862,http://zava.example/assets/facilities/darrell-darryl-learning-annex.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/darrell-darryl-learning-annex,399,Yes,43.733387,-79.429264
Jona-than Library Branch,East,Canyon,Civic Office,"Offers childcare information with youth programs and senior wellness year-round. Known for outdoor green space, emergency services, and open weekends.",+1 555-5371,http://zava.example/assets/facilities/jona-than-library-branch.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jona-than-library-branch,453,Yes,43.676508,-79.492255
Jon Nathen Sports Complex,East,Greenfield,Access Point,"Offers job search help with arts workshops and emergency services year-round. Known for private consultation rooms, youth programs, and extended evening hours.",+1 555-9346,http://zava.example/assets/facilities/jon-nathen-sports-complex.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jon-nathen-sports-complex,397,No,43.787847,-79.476932
Darryll Darelly Community Center,Downtown,Riverton,Recreation Centre,"Offers after-school tutoring with arts workshops and free parking year-round. Known for a welcoming lobby, emergency services, and on-site volunteers.",+1 555-1027,http://zava.example/assets/facilities/darryll-darelly-community-center.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/darryll-darelly-community-center,236,No,43.613995,-79.367152
Jonathan Wellness Pavilion,North,Parkview,Community Hub,"Offers fitness classes with emergency services and arts workshops year-round. Known for a staffed information desk, open weekends, and on-site volunteers.",+1 555-7211,http://zava.example/assets/facilities/jonathan-wellness-pavilion.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jonathan-wellness-pavilion,365,No,43.681215,-79.333255
Darelly Library Branch,North,Crestwood,Recreation Centre,"Offers meeting rooms with open weekends and senior wellness year-round. Known for outdoor green space, arts workshops, and free parking.",+1 555-5649,http://zava.example/assets/facilities/darelly-library-branch.jpg,Daily 9:00-17:00,http://zava.example/facilities/darelly-library-branch,97,Yes,43.734559,-79.455072
Darril Daryl Community Hub,West,Crestwood,Recreation Centre,"Offers health screenings with open weekends and arts workshops year-round. Known for a staffed information desk, free parking, and open weekends.",+1 555-1090,http://zava.example/assets/facilities/darril-daryl-community-hub.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/darril-daryl-community-hub,448,No,43.643768,-79.339178
Derran Community Centre,West,Crestwood,Civic Office,"Offers recreation leagues with open weekends and free parking year-round. Known for a large auditorium, emergency services, and easy transit access.",+1 555-7991,http://zava.example/assets/facilities/derran-community-centre.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/derran-community-centre,131,No,43.690014,-79.349645
D. Arrell Resource Centre,East,Birchwood,Recreation Centre,"Offers local history archive with open weekends and emergency services year-round. Known for accessible entrances, arts workshops, and extended evening hours.",+1 555-9849,http://zava.example/assets/facilities/d-arrell-resource-centre.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/d-arrell-resource-centre,120,Yes,43.646252,-79.36121
